dataset,model,auroc,f1,precision,recall
KDD99,Deep SVDD,0.9993,0.995,0.9989,0.9912
KDD99,FlowDAGMM (RealNVP),0.9983,0.9928,0.9936,0.9921
KDD99,NGMF (Strategy 3),0.9945,0.989,0.9959,0.9821
KDD99,Isolation Forest,0.987,0.991,0.9949,0.9872
KDD99,One-Class SVM,0.9548,0.9892,0.9839,0.9944
KDD99,S1-skew_normal,0.9249,0.0601,0.6704,0.0315
KDD99,VAE,0.8103,0.9694,0.9475,0.9924
KDD99,S1-laplace,0.8072,0.3223,0.809,0.2012
KDD99,S1-student_t,0.3704,0.3254,0.8171,0.2031
KDD99,Baseline DAGMM,0.0925,0.8848,0.802,0.9867
MIT-BIH,Deep SVDD,0.8442,0.618,0.6541,0.5856
MIT-BIH,FlowDAGMM (RealNVP),0.8169,0.5461,0.5377,0.5548
MIT-BIH,One-Class SVM,0.8121,0.6456,0.7259,0.5813
MIT-BIH,VAE,0.8019,0.5756,0.6948,0.4912
MIT-BIH,Isolation Forest,0.7702,0.4608,0.4878,0.4367
MIT-BIH,NGMF (Strategy 3),0.7033,0.3333,0.2708,0.4334
MIT-BIH,S1-laplace,0.6411,0.2434,0.1855,0.3542
MIT-BIH,Baseline DAGMM,0.5133,0.1893,0.1047,0.9896
MIT-BIH,S1-student_t,0.4496,0.1222,0.0931,0.1778
MIT-BIH,S1-skew_normal,0.4197,0.1385,0.1055,0.2015
Thyroid,Isolation Forest,0.9936,0.7895,0.7895,0.7895
Thyroid,One-Class SVM,0.9808,0.5714,0.5217,0.6316
Thyroid,VAE,0.9552,0.4783,0.4074,0.5789
Thyroid,Deep SVDD,0.9331,0.3529,0.2449,0.6316
Thyroid,FlowDAGMM (RealNVP),0.9328,0.4286,0.3913,0.4737
Thyroid,NGMF (Strategy 3),0.8951,0.2444,0.1549,0.5789
Thyroid,S1-skew_normal,0.834,0.2623,0.1905,0.4211
Thyroid,S1-laplace,0.7753,0.2105,0.1579,0.3158
Thyroid,S1-student_t,0.5616,0.1136,0.0725,0.2632
Thyroid,Baseline DAGMM,0.5537,0.0959,0.0551,0.3684
